Timestamp	Bar plot 1	Bar plot 2	Bar plot 3	Bar plot 4	Bar plot 5	Shifted Bar plot 1	Shifted Bar plot 2	Shifted Bar plot 3	Shifted Bar plot 4	Shifted Bar plot 5	Circle plot 1	Circle plot 2	Circle plot 3	Circle plot 4	Circle plot 5	Pie chart 1	Pie chart 2	Pie chart 3	Pie chart 4	Pie chart 5	Color chart 1	Color chart 2	Color chart 3	Color chart 4	Color chart 5
4/20/2016 11:28:17	10	65	20	75	55	60	15	90	20	100	80	30	90	10	30	60	20	100	10	100	100	70	30	20	80
4/20/2016 11:28:19	10	66	20	80	55	66	20	100	20	100	80	25	100	10	33	50	25	100	10	100	90	80	30	10	100
4/20/2016 11:28:20	10	66	20	85	55	55	10	95	20	100	80	15	90	5	25	66	33	100	5	100	100	75	30	10	90
4/20/2016 11:28:24	10	66.66	20	80	55	60		15	90	15	80	15	95	10	20		50	33.3	100	10	100	60	50	10	80
4/20/2016 11:28:26	10	60	25	80	55	60	20	90	25	95	80	40	90	10	20	25	25	95	5	100	0	75	50	25	90
4/20/2016 11:28:27	10	63	25	80	60	70	20	98	19	100	90	40	90	10	20	50	25	100	8	100	80	60	20	10	100
4/20/2016 11:28:27	10	65	20	75	65	55	15	90	15	100	70	6	80	4	16	85	20	100	4	100	100	90	70	50	35
4/20/2016 11:28:29	10	60	15	80	55	58	18	90	23	98	70	30	90	9	40	80	25	95	5	100	100	60	30	10	80
4/20/2016 11:28:31	10	60	23	80	55	70	20	90	25	95	60	20	90	10	30	55	23	80	5	100	100	30	20	10	50
4/20/2016 11:28:36	5	67	10	80	60	60	10	100	15	100	67	10	90	5	15	75	20	90	5	100	100	60	25	5	100
4/20/2016 11:28:43	9	66	20	85	55	55	10	93	18	98	85	20	95	8	20	78	33	97	5	100	100	78	10	4	90
4/20/2016 11:28:47	10	60	25	75	50	60	10	80	25	90	80	20	90	10	25	66	33	90	5	100	0	50	25	10	75
4/20/2016 11:28:49	10	66	25	80	60	60	30	80	25	100	60	20	80	10	35	80	20	100	10	100	100	80	25	10	100
4/20/2016 11:28:53	0	65	20	80	55	60	15	90	20	100	70	20	90	10	30	60	30	90	5	100	100	40	20	5	90
4/20/2016 11:29:05	6	60	30	80	60	50	30	80	25	90	30	10	95	20	27	65	23	40	20	70	50	20	20	10	1
4/20/2016 11:29:09	10	60	17	80	50	60	20	100	20	100	80	20	95	10	20	30	30	100	10	100	100	70	10	0	80
4/20/2016 11:29:13	10	70	20	80	55	50	10	100	15	100	80	20	90	10	15	75	15	100	5	100	100	50	25	0	90
4/20/2016 11:29:14	10	70	20	85	55	55	20	90	20	95	80	20	85	10	20	30	12	33	1	33	100	80	50	20	10
4/20/2016 11:29:19	8	70	15	85	55	60	10	95	15	99	85	15	90	10	20	80	25	100	2	100	100	70	30	10	85
4/20/2016 11:29:32	10	70	20	80	55	50	20	80	20	100	80	20	90	10	20	50	20	100	5	100	100	50	20	10	90
4/20/2016 11:29:35	10	66	25	80	60	70	20	90	25	95	90	25	99	10	30	50	25	95	5	99	99	50	10	1	70
4/20/2016 11:29:35	10	70	20	85	57	60	15	90	20	99	80	20	95	5	10	80	30	90	5	100	100	50	20	10	70
4/20/2016 11:29:42	10	70	20	80	55	60	15	95	20	97	80	25	90	5	30	80	15	90	3	100	100	50	30	10	90
4/20/2016 11:29:50	10	70	20	80	60	60	20	90	20	100	60	20	90	11	15	70	20	100	2	100	100	60	30	20	10
4/20/2016 11:29:58	10	60	20	80	55	60	20	90	25	95	75	17	80	5	20	60	17	80	1.5	90	100	60	20	0	80
4/20/2016 11:29:58	10	65	20	80	55	60	15	90	20	100	80	20	90	10	20	50	20	50	2	50	100	100	100	0	100
4/20/2016 11:30:02	10	66	20	85	60	65	18	90	18	95	66	20	80	5	20	72	25	90	3	99	95	50	25	5	75
4/20/2016 11:30:14	10	60	10	80	60	45	10	90	25	100	90	20	95	5	20	33	3	40	33	5	100	80	50	10	5
4/20/2016 11:30:16	10	60	20	80	55	55	10	90	20	100	80	35	90	20	30	30	25	33	1	40	100	70	30	10	80
4/20/2016 11:30:27	10	65	20	80	55	65	15	90	20	1	80	20	90	15	30	90	25	100	5	100	1	50	20	15	95
4/20/2016 11:30:31	10	65	25	75	55	60	20	90	30	100	80	30	95	10	20	30	15	33	5	45	100	70	50	20	85
4/20/2016 11:30:34	10	70	25	85	60	60	20	95	25	100	80	30	90	10	30	60	25	100	10	100	100	85	50	10	86
4/20/2016 11:30:45	10	1	20	85	55	60	20	95	20	98	43	20	95	10	25	63	20	90	5	100	100	80	20	10	95
4/20/2016 11:30:48	15	60	25	80	55	55	10	90	25	100	75	20	90	10	25	50	20	75	5	100	100	50	25	5	75
4/20/2016 11:30:49	10	80	20	80	60	60	15	90	20	100	80	25	90	5	30	90	20	100	5	100	100	70	20	10	90
4/20/2016 11:30:56	13	67	20	80	60	65	15	90	20	95	70	25	85	10	40	70	33	85	5	100	100	70	50	30	80
4/20/2016 11:31:34	10	60	20	80	55	70	10	90	20	100	80	20	90	10	20	60	20	70	5	1	100	70	50	30	100
4/20/2016 11:31:34	8	65	20	82	60	60	15	95	20	100	56	20	90	6	25	43	25	90	5	100	100	50	25	10	0
4/20/2016 11:31:36	10	66	7	71	55	55	20	90	25	98	75	30	90	10	25	60	20	90	10	100	90	50	20	10	60
4/20/2016 11:31:55	10	70	20	80	60	60	15	80	20	90	80	15	90	5	20	70	20	90	5	100	100	50	20	10	90
4/20/2016 11:32:53	10	70	25	80	60	60	15	90	20	100	80	20	90	10	40	50	20	80	5	100	100	25	10	5	
4/20/2016 11:33:19	10	80	25	90	60	50	20	100	20	100	90	80	95	5	10	50	20		40	5	90	80	40	30	10
4/20/2016 11:33:28	10	61	31	75	55	55	10	95	20	90	70	20	75	15	30	25	15	50	6	90	90	47	50	20	10
4/20/2016 11:33:33	10	60	25	80	55	60	20	90	25	95	75	20	90	7	25	40	22	45	5	48	100	45	15	8	85
4/20/2016 11:33:38	7	60	20	80	55	55	15	90	20	100	60	20	80	10	25	80	30	90	5	100	100	50	20	5	75
4/20/2016 11:33:57	10	68	30	70	62	68	25	90	30	100	85	20	90	10	30	80	33	100	10	100	100	80	50	10	90
4/20/2016 11:34:16	10	70	20	80	50	55	18	80	20	85	80	15	95	7	15	60	25	80	5	100	100	50	20	5	65
4/20/2016 11:35:58	10	60	25	75	55	60	15	90	20	97	70	20	85	10	30	80	25	90	5	100	100	75	50	25	80
4/20/2016 11:36:01	10	66	20	85	60	66	10	90	15	100	66	25	90	15	33	80	18	100	2	100	100	80	40	15	90
4/20/2016 11:49:34	10	60	25	75	50	60	20	90	30	100	90	25	100	10	30	90	25	100	100	1	100	100	100	100	100
